City,temp,Lat,Long,humidity,Cloud Cover,Wind Speed
Provideniya,-24.02,64.42,-173.23,95,83,0.55
Lloydminster,-13.0,53.28,-110.01,60,20,3.6
Albany,0.49,42.65,-73.75,55,40,3.6
Tasiilaq,-5.79,65.61,-37.64,93,100,14.7
Tual,28.12,-5.67,132.75,77,100,4.89
Saskylakh,-17.47,71.97,114.09,93,94,3.54
Faanui,27.96,-16.48,-151.75,78,68,6.71
Sigli,27.3,5.38,95.96,68,97,5.81
San Patricio,26.13,-26.98,-56.83,62,70,1.34
Phan Thiet,22.02,10.93,108.1,76,78,1.2
Norman Wells,-39.0,65.28,-126.83,65,75,1.41
Aswan,7.95,24.09,32.9,49,0,1.98
Kahului,24.84,20.89,-156.47,51,20,10.3
Severnoye,-5.42,54.09,52.54,95,100,1.82
Rivadavia,27.8,-31.53,-68.59,17,0,4.72
Pevek,-22.74,69.7,170.27,69,0,2.32
Berlevag,-4.96,70.86,29.09,79,75,2.1
Lavrentiya,-23.18,65.58,-170.99,89,53,0.68
Vallenar,16.34,-28.58,-70.76,74,0,2.62
Kavieng,29.29,-2.57,150.8,69,75,1.29
Hilo,23.77,19.71,-155.08,54,75,5.1
Saint-Philippe,-7.94,45.36,-73.48,85,90,1.0
New Norfolk,18.06,-42.78,147.06,72,75,3.6
Punta Arenas,13.94,-53.16,-70.91,67,90,7.2
Bredasdorp,17.06,-34.53,20.04,72,94,1.5
Opuwo,18.92,-18.06,13.84,62,1,3.31
Kirakira,29.52,-10.46,161.92,72,83,4.69
Khatanga,-13.82,71.98,102.47,93,99,5.82
Bar,-5.45,49.07,27.67,92,0,1.31
Aitape,27.34,-3.15,142.36,78,100,1.41
Coihaique,13.0,-45.58,-72.07,71,90,1.0
Atuona,26.97,-9.8,-139.03,70,0,5.51
Butembo,16.39,0.12,29.29,87,100,1.62
Vaini,17.96,15.34,74.49,97,4,2.26
Rikitea,24.95,-23.12,-134.97,74,95,5.43
Souillac,4.65,45.6,-0.6,93,90,1.5
Narsaq,-18.0,60.91,-46.05,30,5,2.6
Lebu,12.0,8.96,38.73,87,20,3.1
Ushuaia,13.0,-54.81,-68.31,54,75,3.1
Ostrovnoy,-12.47,68.05,39.51,96,70,2.48
Avarua,26.0,-21.21,-159.78,88,40,2.1
Puerto Ayora,27.28,-0.74,-90.35,58,75,8.2
Dikson,-11.04,73.51,80.55,95,100,4.7
Dieppe,-8.0,46.09,-64.74,67,75,1.0
Araouane,14.51,18.9,-3.53,21,0,4.27
Tacuati,23.61,-23.46,-56.74,90,63,1.4
Sur,21.24,22.57,59.53,84,0,4.09
Chuy,20.2,-33.69,-53.46,74,35,2.73
Yellowknife,-28.94,62.45,-114.38,75,75,2.6
Saint George,2.07,39.45,22.34,55,20,2.6
Hermanus,17.78,-34.42,19.24,79,98,1.34
Chokurdakh,-30.23,70.62,147.9,99,14,1.24
Port Alfred,20.56,-33.59,26.89,97,100,4.04
Georgetown,26.0,6.8,-58.16,88,20,3.1
Cape Town,19.28,-33.93,18.42,63,99,8.7
Port Hawkesbury,-5.21,45.62,-61.36,79,90,1.0
Vitim,-7.62,59.44,112.57,93,100,5.84
Tiksi,-19.06,71.64,128.87,85,100,7.41
Arraial do Cabo,27.48,-22.97,-42.02,78,75,3.1
Castro,13.0,-42.48,-73.76,87,90,5.1
Shumikha,-9.84,55.23,63.28,93,100,2.37
Victoria,26.26,5.28,115.24,83,75,1.5
Xining,-9.83,36.62,101.77,89,90,1.5
Bluff,28.64,-23.58,149.07,56,60,6.13
Cherskiy,-26.8,68.75,161.3,71,0,2.67
Mahebourg,25.0,-20.41,57.7,100,75,0.76
Hofn,4.68,64.25,-15.21,62,32,14.21
Kiboga,18.93,0.92,31.77,78,87,1.15
Hobart,17.96,-42.88,147.33,72,75,3.6
Kodiak,5.72,39.95,-94.76,55,90,3.12
Nikolskoye,1.28,59.7,30.79,96,90,5.0
Vetlanda,5.0,57.43,15.09,100,100,4.1
Ponta do Sol,20.32,-20.63,-46.0,92,9,1.11
Mayna,-14.67,53.0,91.49,76,1,2.41
Kawalu,22.82,-7.38,108.21,85,72,0.85
Bethel,-27.65,60.79,-161.76,68,1,4.1
Port Macquarie,28.08,-31.43,152.91,65,58,3.6
Nabire,26.77,-3.36,135.5,92,74,0.42
Qaanaaq,-25.48,77.48,-69.36,62,45,4.83
Busselton,17.68,-33.64,115.35,33,0,3.28
Dong Xoai,22.15,11.53,106.92,80,9,1.33
Mataura,12.22,-46.19,168.86,76,88,4.02
Sola,17.57,-3.17,33.8,92,92,2.27
Ardrossan,23.33,-34.42,137.92,49,0,2.48
Torbay,-3.08,47.66,-52.73,86,90,4.1
Chibombo,18.45,-14.68,28.09,96,99,1.15
Hasaki,1.09,35.73,140.83,74,20,1.5
Vao,2.49,59.1,26.19,97,100,3.38
College,-36.4,64.86,-147.8,65,20,1.07
Klaksvik,6.0,62.23,-6.59,70,23,9.8
Tromso,1.59,69.65,18.96,86,75,12.3
Carndonagh,3.72,55.25,-7.27,91,37,3.68
Kaitangata,13.89,-46.28,169.85,55,0,8.05
Ambarawa,25.0,-7.26,110.4,94,40,1.5
Padang,20.67,-0.92,100.36,88,91,2.22
Lompoc,21.27,34.64,-120.46,26,1,1.5
Kihei,24.94,20.76,-156.45,51,20,10.3
Matara,13.76,-3.48,29.48,88,95,1.6
Kuryk,4.81,43.18,51.68,67,4,7.44
Eureka,11.18,40.8,-124.16,58,1,2.1
Barrow,15.48,-38.31,-60.23,62,32,3.57
San Cristobal,17.32,14.68,-86.92,91,79,2.63
